"","alcaldia","colonia","clave_colonia","total_200905","total_200906","total_200907","total_200908","total_200909","total_200910","total_200911","total_200912","total_200913","total_200914","total_200915","total_200916","total_200917","total_200918","total_200919","total_200920","total_200921","total_200922","total_200923","total_200924","total_200925","total_200926","total_200927","total_200928","total_200929","total_200930","total_201001","total_201002","total_201003","total_201004","total_201005","total_201006","total_201007","total_201008","total_201009","total_201010","total_201011","total_201012","total_201013","total_201014","total_201015","total_201016","total_201017","total_201018","total_201019","total_201020","total_201021","total_201022","total_201023","total_201024","total_201025","total_201026","total_201027","total_201028","total_201029","total_201030","total_201031","total_201101","total_201102","total_201103","total_201104","total_201105","total_201106","total_201107","total_201108","total_201109","total_201110","total_201111","total_201112","total_201113","total_201114","total_201115","total_201116","total_201117","total_201118","total_201119","total_201121","total_201122","total_201123","total_201125","total_201126","total_201127","total_201128","total_201129","total_201130","total_201201","total_201202","total_201203","total_201205","total_201206","total_201207","total_201208","total_201209","total_201210","total_201211","total_201212","total_201213"
"1","AZCAPOTZALCO","ARENAL","02-006",9,7,7,11,12,12,12,14,11,8,7,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,6,6,6,7,6,NA,NA,NA,6,6,8,8,7,9,8,7,7,6,8,8,NA,NA,NA,NA,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,8,8,8,6,6,7,9,28,19,19,21,21,20,19,16,NA
"2","AZCAPOTZALCO","CUITLHUAC 3 Y 4 (U HAB)","02-014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,9,9,19,9,9,9,8,7,6,NA,NA
"3","AZCAPOTZALCO","DEL GAS","02-015",8,8,9,8,7,7,9,6,NA,NA,9,12,12,15,14,11,10,7,8,8,6,NA,NA,6,10,10,9,9,10,10,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,6,NA,NA,NA,8,8,8,9,7,NA,NA,NA,NA,NA,6,6,6,8,8,6,9,8,6,NA,NA,7,9,10,NA,NA,NA,NA,NA,NA,NA,6,11,9,14,14,15,14,14,14,18,33,17,18,16,15,16,22,23,NA
"4","AZCAPOTZALCO","DEL RECREO","02-018",NA,NA,NA,NA,8,8,7,8,NA,NA,NA,NA,NA,10,11,11,8,10,11,10,10,8,6,NA,NA,NA,7,10,10,10,9,8,8,8,6,6,NA,7,NA,7,8,11,13,13,9,9,11,17,14,16,13,16,16,14,16,14,12,10,9,8,10,8,7,7,11,9,10,7,8,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,13,20,21,22,23,24,23,41,23,22,17,19,19,18,18,NA
"5","AZCAPOTZALCO","EL ROSARIO C (U HAB)","02-025",22,14,17,21,20,13,15,14,13,12,17,16,12,17,15,11,9,9,9,9,7,9,9,9,15,18,16,18,20,17,12,12,11,10,11,7,NA,8,8,11,10,10,9,11,14,12,16,24,22,26,29,22,22,25,25,25,26,21,17,16,17,16,15,14,14,10,10,8,10,8,8,NA,NA,NA,NA,NA,NA,NA,NA,7,14,20,25,30,28,34,36,40,90,46,45,41,40,39,41,45,NA
"6","AZCAPOTZALCO","NUEVO SAN RAFAEL (BARR)","02-053",14,11,10,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,13,10,10,10,9,11,11,11,NA
"7","AZCAPOTZALCO","SAN  MIGUEL AMANTLA (PBLO)","02-069",7,7,6,7,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,6,8,8,8,8,11,10,13,13,12,10,8,8,8,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,10,11,10,9,11,11,13,8,9,11,11,9,10,11,10,10,8,7,7,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,7,8,13,10,11,11,12,15,30,18,18,17,20,27,24,26,NA
"8","AZCAPOTZALCO","SAN JUAN TLIHUACA (PBLO)","02-079",9,11,11,11,12,9,12,11,12,12,9,14,13,9,10,10,10,10,13,13,14,15,11,10,12,11,15,16,19,20,16,14,12,10,10,8,NA,8,6,6,NA,6,6,7,8,9,7,12,13,17,16,16,15,13,13,13,18,17,15,12,12,10,9,11,13,10,10,7,9,7,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,11,14,14,15,19,20,26,53,32,31,36,44,49,45,47,NA
"9","AZCAPOTZALCO","SAN MARCOS (BARR)","02-080",8,7,7,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,NA,NA,NA,9,8,6,7,6,10,9,14,15,13,10,7,NA,NA,NA,NA,6,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,14,14,15,15,15,17,27,16,15,14,15,17,17,16,NA
"10","AZCAPOTZALCO","SAN PEDRO XALPA (PBLO)","02-085",11,7,NA,10,10,6,9,9,8,NA,NA,7,7,7,8,7,6,NA,8,8,7,7,7,7,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,7,8,8,9,7,NA,NA,NA,NA,6,NA,NA,6,6,8,8,8,7,6,6,NA,NA,8,8,8,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,10,13,13,14,18,22,48,23,23,30,29,27,30,31,NA
